         129099 function calls (125737 primitive calls) in 14.450 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
    256/4    0.005    0.000    1.721    0.430 <frozen importlib._bootstrap>:1002(_find_and_load)
   215/42    0.002    0.000    0.376    0.009 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      583    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:112(release)
      256    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      256    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:156(__enter__)
      256    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:160(__exit__)
      583    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      338    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:185(cb)
      327    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
    359/5    0.001    0.000    1.713    0.343 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     2602    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
      193    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      251    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:351(__init__)
      413    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:385(cached)
      511    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:398(parent)
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      242    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
  242/102    0.002    0.000    1.556    0.015 <frozen importlib._bootstrap>:558(module_from_spec)
      338    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
    242/4    0.004    0.000    1.715    0.429 <frozen importlib._bootstrap>:659(_load_unlocked)
      251    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:736(find_spec)
    22/21    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:757(create_module)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
      229    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:811(find_spec)
      583    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:87(acquire)
      960    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:874(__enter__)
      960    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:878(__exit__)
      251    0.007    0.000    0.091    0.000 <frozen importlib._bootstrap>:901(_find_spec)
    256/4    0.003    0.000    1.720    0.430 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      193    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1095(__init__)
    27/11    0.000    0.000    1.542    0.140 <frozen importlib._bootstrap_external>:1106(create_module)
    27/22    0.000    0.000    0.028    0.001 <frozen importlib._bootstrap_external>:1114(exec_module)
       29    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1259(_path_hooks)
      536    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
      229    0.004    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1309(_get_spec)
      229    0.001    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:1341(find_spec)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1401(__init__)
      232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1407(<genexpr>)
      220    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
      469    0.014    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
       29    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1486(_fill_cache)
       29    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1527(path_hook_for_FileFinder)
      386    0.005    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
      469    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      220    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
